# Machine-auditable coverage ledger for docs/card-script-lexicon.md.
# Columns: section, item, registered fixture, observable assertion, status.
# Every row must point to a registered gameplay fixture with an observable
# assertion. `covered-unverified` means the row is structurally integrated but
# has not yet been confirmed by a passing runtime result.
section	item	registered fixture	observable assertion	status
basic	trample	lexicon/basic_trample.txt	fixture [ASSERT] observes trample gameplay behavior	covered-unverified
basic	forestwalk	lexicon/basic_forestwalk.txt	fixture [ASSERT] observes forestwalk gameplay behavior	covered-unverified
basic	islandwalk	lexicon/basic_islandwalk.txt	fixture [ASSERT] observes islandwalk gameplay behavior	covered-unverified
basic	mountainwalk	lexicon/basic_mountainwalk.txt	fixture [ASSERT] observes mountainwalk gameplay behavior	covered-unverified
basic	swampwalk	lexicon/basic_swampwalk.txt	fixture [ASSERT] observes swampwalk gameplay behavior	covered-unverified
basic	plainswalk	lexicon/basic_plainswalk.txt	fixture [ASSERT] observes plainswalk gameplay behavior	covered-unverified
basic	flying	lexicon/basic_cloud_accepts_flying_block.txt	fixture [ASSERT] observes flying gameplay behavior	covered-unverified
basic	first strike	generic/rampage_vs_first_strike.txt	fixture [ASSERT] observes first strike gameplay behavior	covered-unverified
basic	double strike	lexicon/basic_double_strike.txt	fixture [ASSERT] observes double strike gameplay behavior	covered-unverified
basic	fear	lexicon/basic_fear_rejects_nonartifact_nonblack_blocker.txt	fixture [ASSERT] observes fear gameplay behavior	covered-unverified
basic	flash	lexicon/basic_asflash_adventure_casts_during_upkeep.txt	fixture [ASSERT] observes flash gameplay behavior	covered-unverified
basic	haste	lexicon/basic_haste.txt	fixture [ASSERT] observes haste gameplay behavior	covered-unverified
basic	lifelink	lexicon/basic_perpetual_lifelink_persists_on_card.txt	fixture [ASSERT] observes lifelink gameplay behavior	covered-unverified
basic	reach	lexicon/basic_reach_blocks_flying.txt	fixture [ASSERT] observes reach gameplay behavior	covered-unverified
